종목명,날짜,가격,
BNK금융지주,20241018,9760 ,
BNK금융지주,20241017,9680 ,
BNK금융지주,20241016,9580 ,
BNK금융지주,20241015,9450 ,
BNK금융지주,20241014,9380 ,
BNK금융지주,20241011,9220 ,
BNK금융지주,20241010,9220 ,
BNK금융지주,20241008,9170 ,
BNK금융지주,20241007,9270 ,
BNK금융지주,20241004,9060 ,
BNK금융지주,20241002,8980 ,
BNK금융지주,20240930,9040 ,
BNK금융지주,20240927,9190 ,
삼성전자,20241018,59200 ,
삼성전자,20241017,59700 ,
삼성전자,20241016,59500 ,
삼성전자,20241015,61000 ,
삼성전자,20241014,60800 ,
삼성전자,20241011,59300 ,
삼성전자,20241010,58900 ,
삼성전자,20241008,60300 ,
삼성전자,20241007,61000 ,
삼성전자,20241004,60600 ,
LG전자,20241018,97300 ,
LG전자,20241017,97600 ,
LG전자,20241016,97500 ,
LG전자,20241015,98400 ,
LG전자,20241014,98700 ,
LG전자,20241011,98500 ,
LG전자,20241010,97200 ,
LG전자,20241008,98000 ,
LG전자,20241007,103700 ,
LG전자,20241004,105900 ,
LG전자,20241002,103000 ,
,,,
,,,
